"Time","ts-station-food-service-bbffbd779-qbpwz","ts-auth-service-5cd94cf4c9-pr4sc","ts-consign-service-69fdbff744-t4nnm","ts-execute-service-667756b4bf-vrl4r","ts-travel-plan-service-57865655f6-vklhv","ts-basic-service-c57455994-5rf52","ts-food-delivery-service-85c449576c-7jtrf","ts-train-service-c7fc88877-mm8n9","ts-config-service-55f74d8b79-mt2ln","tsdb-mysql-2","ts-assurance-service-569ffd759f-nzddv","tsdb-mysql-2","tsdb-mysql-0","ts-admin-route-service-5d486755c-mxt4j","tsdb-mysql-1","ts-order-other-service-6666b4d4d-x6l64","ts-ui-dashboard-7b5d44c888-gqlfj","ts-delivery-service-857d89f589-nrpbf","nacosdb-mysql-0","ts-avatar-service-ff8977c96-z6h7t","ts-travel-service-699599cdf5-mffdb","ts-seat-service-54f7bb8465-rzgwd","nacosdb-mysql-2","ts-admin-travel-service-7d4d447494-lz7vv","ts-wait-order-service-6f7f78bb5d-8f78g","ts-verification-code-service-58d4c7b777-p96jk","tsdb-mysql-0","ts-rebook-service-79586f4dbc-lh6w9","ts-consign-price-service-764c676495-rblv4","ts-preserve-service-56dfc8d6d-vnlpb","ts-route-plan-service-6594877d59-qrh8f","nacosdb-mysql-1","ts-user-service-77988d68d8-kp6gg","ts-route-service-6f5855dc47-7ht8z","ts-station-service-798774f5d-dpsf5","nacosdb-mysql-1","ts-gateway-service-8585c745cd-mn5vn","ts-food-service-85b5445f7-69dvs","ts-notification-service-66777dd945-g9l6f","ts-preserve-other-service-5b9bbf9cf-hjzpg","ts-order-service-69885cc6c8-4mcjr","ts-admin-basic-info-service-d8d4b4ff9-s7zth","ts-voucher-service-7545b4fb7c-v46q2","ts-cancel-service-55b6778574-7zfnb","nacosdb-mysql-2","ts-admin-user-service-c544d7b74-xj8pn","ts-price-service-55c8646c4c-hjw4b","ts-ticket-office-service-9979b76f9-ztj64","ts-news-service-7665fdf4c-hlrml","ts-admin-order-service-787856598f-fl56n","tsdb-mysql-1","nacosdb-mysql-0","ts-train-food-service-f544897f-jd76n","ts-inside-payment-service-7f87878d9f-mqp8l","ts-travel2-service-5db558f8d9-4tk7g","ts-payment-service-7fc4c49d89-7zrgj","ts-contacts-service-69864b9cd7-j7kng","ts-security-service-7fd5f9ff9c-k4nxj"
2024-01-02 15:00:00,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,13.9 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,14.5 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,24.9 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,28.0 ms,0 s,0 s,0 s,0 s,0 s,22.1 ms,18.3 ms,0 s,0 s,0 s,0 s,0 s,0 s
2024-01-02 15:00:05,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,12.8 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,14.6 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,27.9 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,17.1 ms,0 s,0 s,0 s,0 s,0 s,28.2 ms,16.0 ms,0 s,0 s,0 s,0 s,0 s,0 s
2024-01-02 15:00:10,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,12.8 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,12.8 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,34.5 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,22.2 ms,0 s,0 s,0 s,0 s,0 s,25.3 ms,16.0 ms,0 s,0 s,0 s,0 s,0 s,0 s
2024-01-02 15:00:15,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,14.1 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,11.1 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,34.7 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,18.4 ms,0 s,0 s,0 s,0 s,0 s,22.3 ms,23.0 ms,0 s,0 s,0 s,0 s,0 s,0 s
2024-01-02 15:00:20,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,14.3 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,12.4 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,33.3 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,20.2 ms,0 s,0 s,0 s,0 s,0 s,22.4 ms,30.3 ms,0 s,0 s,0 s,0 s,0 s,0 s
2024-01-02 15:00:25,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,14.5 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,9.6 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,33.5 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,15.8 ms,0 s,0 s,0 s,0 s,0 s,19.6 ms,28.8 ms,0 s,0 s,0 s,0 s,0 s,0 s
2024-01-02 15:00:30,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,19.3 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,9.6 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,28.7 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,15.9 ms,0 s,0 s,0 s,0 s,0 s,20.1 ms,31.1 ms,0 s,0 s,0 s,0 s,0 s,0 s
2024-01-02 15:00:35,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,19.6 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,9.5 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,24.2 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,12.9 ms,0 s,0 s,0 s,0 s,0 s,11.6 ms,28.0 ms,0 s,0 s,0 s,0 s,0 s,0 s
2024-01-02 15:00:40,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,16.4 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,10.5 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,26.0 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,13.0 ms,0 s,0 s,0 s,0 s,0 s,17.0 ms,27.7 ms,0 s,0 s,0 s,0 s,0 s,0 s
2024-01-02 15:00:45,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,16.3 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,10.8 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,25.7 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,16.6 ms,0 s,0 s,0 s,0 s,0 s,16.9 ms,34.5 ms,0 s,0 s,0 s,0 s,0 s,0 s
