"Time","ts-station-food-service-bbffbd779-qbpwz","ts-auth-service-5cd94cf4c9-pr4sc","ts-consign-service-69fdbff744-t4nnm","ts-execute-service-667756b4bf-vrl4r","ts-travel-plan-service-57865655f6-vklhv","ts-basic-service-c57455994-5rf52","ts-food-delivery-service-85c449576c-7jtrf","ts-train-service-c7fc88877-mm8n9","ts-config-service-55f74d8b79-mt2ln","tsdb-mysql-2","ts-assurance-service-569ffd759f-nzddv","tsdb-mysql-2","prometheus-operator-fb994f4c4-9qdfg","tsdb-mysql-0","ts-admin-route-service-5d486755c-mxt4j","tsdb-mysql-1","ts-order-other-service-6666b4d4d-x6l64","ts-ui-dashboard-7b5d44c888-gqlfj","ts-delivery-service-857d89f589-nrpbf","nacosdb-mysql-0","ts-avatar-service-ff8977c96-z6h7t","ts-travel-service-699599cdf5-mffdb","ts-seat-service-54f7bb8465-rzgwd","nacosdb-mysql-2","prometheus-main-0","ts-admin-travel-service-7d4d447494-lz7vv","ts-wait-order-service-6f7f78bb5d-8f78g","ts-verification-code-service-58d4c7b777-p96jk","tsdb-mysql-0","ts-rebook-service-79586f4dbc-lh6w9","grafana-745d5965f5-vwfq9","ts-consign-price-service-764c676495-rblv4","ts-consign-price-service-764c676495-rblv4","ts-consign-price-service-764c676495-rblv4","ts-consign-price-service-764c676495-rblv4","ts-consign-price-service-764c676495-rblv4","ts-consign-price-service-764c676495-rblv4","ts-consign-price-service-764c676495-rblv4","ts-preserve-service-56dfc8d6d-vnlpb","ts-route-plan-service-6594877d59-qrh8f","nacosdb-mysql-1","ts-user-service-77988d68d8-kp6gg","cadvisor-zrs5l","ts-route-service-6f5855dc47-7ht8z","ts-station-service-798774f5d-dpsf5","nacosdb-mysql-1","ts-gateway-service-8585c745cd-mn5vn","ts-food-service-85b5445f7-69dvs","ts-notification-service-66777dd945-g9l6f","ts-preserve-other-service-5b9bbf9cf-hjzpg","ts-order-service-69885cc6c8-4mcjr","ts-admin-basic-info-service-d8d4b4ff9-s7zth","ts-voucher-service-7545b4fb7c-v46q2","ts-cancel-service-55b6778574-7zfnb","kube-state-metrics-57969c69d7-rx485","nacosdb-mysql-2","ts-admin-user-service-c544d7b74-xj8pn","ts-price-service-55c8646c4c-hjw4b","ts-ticket-office-service-9979b76f9-ztj64","ts-news-service-7665fdf4c-hlrml","prometheus-main-0","ts-admin-order-service-787856598f-fl56n","tsdb-mysql-1","nacosdb-mysql-0","ts-train-food-service-f544897f-jd76n","ts-inside-payment-service-7f87878d9f-mqp8l","ts-travel2-service-5db558f8d9-4tk7g","ts-payment-service-7fc4c49d89-7zrgj","ts-contacts-service-69864b9cd7-j7kng","ts-security-service-7fd5f9ff9c-k4nxj"
2024-01-04 09:15:00,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,9.9 ms,183.2 µs,9.5 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,30.5 ms,0 s,0 s,2.7 s,,,,,,,0 s,0 s,0 s,0 s,1.7 s,0 s,0 s,5.5 ms,13.6 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,10.1 ms,0 s,0 s,0 s,0 s,0 s,0 s,5.2 ms,31.9 ms,0 s,0 s,0 s,0 s,0 s,0 s
2024-01-04 09:15:05,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,9.2 ms,186.2 µs,9.6 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,25.5 ms,0 s,0 s,2.5 s,,,,,,,0 s,0 s,0 s,0 s,1.7 s,0 s,0 s,5.7 ms,13.6 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,54.9 µs,10.1 ms,0 s,0 s,0 s,0 s,0 s,0 s,4.0 ms,30.6 ms,0 s,0 s,0 s,0 s,0 s,0 s
2024-01-04 09:15:10,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,9.4 ms,188.4 µs,9.3 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,33.2 ms,0 s,0 s,2.4 s,,,,,,,0 s,0 s,0 s,0 s,1.7 s,0 s,0 s,9.1 ms,4.4 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,55.0 µs,12.3 ms,0 s,0 s,0 s,0 s,0 s,0 s,4.6 ms,36.9 ms,0 s,0 s,0 s,0 s,0 s,0 s
2024-01-04 09:15:15,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,8.9 ms,189.4 µs,9.6 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,25.2 ms,0 s,0 s,2.2 s,,,,,,,0 s,0 s,0 s,0 s,1.8 s,0 s,0 s,8.5 ms,21.5 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,55.0 µs,10.8 ms,0 s,0 s,0 s,0 s,0 s,0 s,3.5 ms,36.0 ms,0 s,0 s,0 s,0 s,0 s,0 s
2024-01-04 09:15:20,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,17.1 ms,0 s,9.6 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,30.5 ms,0 s,0 s,2.1 s,,,,,,,0 s,0 s,0 s,0 s,1.8 s,0 s,0 s,9.2 ms,24.8 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,54.6 µs,12.2 ms,0 s,0 s,0 s,0 s,0 s,0 s,6.6 ms,44.8 ms,0 s,0 s,0 s,0 s,0 s,0 s
2024-01-04 09:15:25,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,15.5 ms,0 s,9.3 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,26.3 ms,0 s,0 s,1.9 s,,,,,,,0 s,0 s,0 s,0 s,1.9 s,0 s,0 s,6.4 ms,24.1 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,55.7 µs,10.4 ms,0 s,0 s,0 s,0 s,0 s,0 s,6.6 ms,40.5 ms,0 s,0 s,0 s,0 s,0 s,0 s
2024-01-04 09:15:30,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,17.4 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,30.8 ms,0 s,0 s,1.3 s,,,,,,,0 s,0 s,0 s,0 s,1.8 s,0 s,0 s,8.4 ms,24.3 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,55.6 µs,12.2 ms,0 s,0 s,0 s,0 s,0 s,0 s,7.7 ms,42.4 ms,0 s,0 s,0 s,0 s,0 s,0 s
2024-01-04 09:15:35,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,13.7 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,20.0 ms,0 s,0 s,968.0 ms,,,,,,,0 s,0 s,0 s,0 s,1.9 s,0 s,0 s,7.9 ms,24.1 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,55.8 µs,11.4 ms,0 s,0 s,0 s,0 s,0 s,0 s,6.2 ms,31.8 ms,0 s,0 s,0 s,0 s,0 s,0 s
2024-01-04 09:15:40,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,15.5 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,27.0 ms,0 s,0 s,772.7 ms,,,,,,,0 s,0 s,0 s,0 s,1.9 s,0 s,0 s,8.8 ms,19.9 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,54.9 µs,18.0 ms,0 s,0 s,0 s,0 s,0 s,0 s,6.3 ms,33.8 ms,0 s,0 s,0 s,0 s,0 s,0 s
2024-01-04 09:15:45,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,14.4 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,24.3 ms,0 s,0 s,522.8 ms,,,,,,,0 s,0 s,0 s,0 s,2.0 s,0 s,0 s,8.2 ms,22.4 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,55.0 µs,15.4 ms,0 s,0 s,0 s,0 s,0 s,0 s,6.0 ms,25.1 ms,0 s,0 s,0 s,0 s,0 s,0 s
