"Time","ts-station-food-service-bbffbd779-qbpwz","ts-auth-service-5cd94cf4c9-pr4sc","ts-consign-service-69fdbff744-t4nnm","ts-execute-service-667756b4bf-vrl4r","ts-travel-plan-service-57865655f6-vklhv","ts-basic-service-c57455994-5rf52","ts-food-delivery-service-85c449576c-7jtrf","ts-train-service-c7fc88877-mm8n9","ts-config-service-55f74d8b79-mt2ln","tsdb-mysql-2","ts-assurance-service-569ffd759f-nzddv","tsdb-mysql-2","tsdb-mysql-0","ts-admin-route-service-5d486755c-mxt4j","tsdb-mysql-1","ts-order-other-service-6666b4d4d-x6l64","ts-ui-dashboard-7b5d44c888-gqlfj","ts-delivery-service-857d89f589-nrpbf","nacosdb-mysql-0","ts-avatar-service-ff8977c96-z6h7t","ts-travel-service-699599cdf5-mffdb","ts-seat-service-54f7bb8465-rzgwd","nacosdb-mysql-2","ts-admin-travel-service-7d4d447494-lz7vv","ts-wait-order-service-6f7f78bb5d-8f78g","ts-verification-code-service-58d4c7b777-p96jk","tsdb-mysql-0","ts-rebook-service-79586f4dbc-lh6w9","ts-consign-price-service-764c676495-rblv4","ts-preserve-service-56dfc8d6d-vnlpb","ts-route-plan-service-6594877d59-qrh8f","nacosdb-mysql-1","ts-user-service-77988d68d8-kp6gg","ts-route-service-6f5855dc47-7ht8z","ts-station-service-798774f5d-dpsf5","nacosdb-mysql-1","ts-gateway-service-8585c745cd-mn5vn","ts-food-service-85b5445f7-69dvs","ts-notification-service-66777dd945-g9l6f","ts-preserve-other-service-5b9bbf9cf-hjzpg","ts-order-service-69885cc6c8-4mcjr","ts-admin-basic-info-service-d8d4b4ff9-s7zth","ts-voucher-service-7545b4fb7c-v46q2","ts-cancel-service-55b6778574-7zfnb","nacosdb-mysql-2","ts-admin-user-service-c544d7b74-xj8pn","ts-price-service-55c8646c4c-hjw4b","ts-ticket-office-service-9979b76f9-ztj64","ts-news-service-7665fdf4c-hlrml","ts-admin-order-service-787856598f-fl56n","tsdb-mysql-1","nacosdb-mysql-0","ts-train-food-service-f544897f-jd76n","ts-inside-payment-service-7f87878d9f-mqp8l","ts-travel2-service-5db558f8d9-4tk7g","ts-payment-service-7fc4c49d89-7zrgj","ts-contacts-service-69864b9cd7-j7kng","ts-security-service-7fd5f9ff9c-k4nxj"
2024-01-02 14:12:00,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,17.2 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,769.7 µs,0 s,21.0 ms,0 s,248.8 µs,0 s,0 s,0 s,0 s,0 s,0 s,29.5 ms,404.5 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,14.0 ms,0 s,0 s,0 s,0 s,0 s,18.6 ms,10.3 ms,0 s,0 s,0 s,0 s,211.3 µs,0 s
2024-01-02 14:12:05,0 s,25.2 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,15.8 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,66.1 ms,0 s,0 s,0 s,781.8 µs,0 s,17.1 ms,0 s,248.3 µs,0 s,0 s,0 s,0 s,0 s,0 s,20.7 ms,680.7 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,12.2 ms,0 s,0 s,0 s,0 s,0 s,18.5 ms,12.4 ms,0 s,0 s,0 s,0 s,215.6 µs,0 s
2024-01-02 14:12:10,0 s,717.8 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,17.0 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,196.6 ms,0 s,0 s,0 s,756.8 µs,0 s,17.7 ms,0 s,242.1 µs,0 s,0 s,0 s,0 s,0 s,0 s,25.7 ms,811.2 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,15.4 ms,0 s,0 s,0 s,0 s,0 s,18.6 ms,13.4 ms,0 s,0 s,0 s,0 s,210.2 µs,0 s
2024-01-02 14:12:15,0 s,1.4 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,14.8 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,210.8 ms,0 s,0 s,0 s,769.3 µs,0 s,17.5 ms,0 s,249.0 µs,0 s,0 s,0 s,0 s,0 s,0 s,22.8 ms,853.9 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,12.8 ms,0 s,0 s,0 s,0 s,0 s,17.1 ms,13.3 ms,0 s,0 s,0 s,0 s,213.4 µs,0 s
2024-01-02 14:12:20,0 s,1.6 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,14.8 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,209.8 ms,0 s,0 s,0 s,781.4 µs,0 s,14.3 ms,0 s,249.1 µs,0 s,0 s,0 s,0 s,0 s,0 s,30.9 ms,1.1 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,14.4 ms,203.0 ms,0 s,0 s,0 s,0 s,18.4 ms,11.8 ms,0 s,0 s,0 s,0 s,216.0 µs,0 s
2024-01-02 14:12:25,0 s,1.6 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,14.7 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,217.3 ms,0 s,0 s,0 s,777.2 µs,0 s,10.2 ms,0 s,250.5 µs,0 s,0 s,0 s,0 s,0 s,0 s,27.0 ms,1.2 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,14.4 ms,424.3 ms,0 s,0 s,0 s,0 s,18.3 ms,10.8 ms,0 s,0 s,0 s,0 s,216.8 µs,0 s
2024-01-02 14:12:30,0 s,1.6 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,12.0 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,217.6 ms,0 s,0 s,0 s,782.7 µs,0 s,10.2 ms,0 s,247.9 µs,0 s,0 s,0 s,404.9 ms,0 s,0 s,31.3 ms,1.2 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,16.7 ms,446.1 ms,0 s,0 s,0 s,0 s,15.6 ms,11.8 ms,0 s,0 s,0 s,0 s,213.2 µs,0 s
2024-01-02 14:12:35,0 s,1.9 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,10.8 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,227.0 ms,0 s,0 s,0 s,780.4 µs,0 s,9.0 ms,0 s,0 s,0 s,0 s,0 s,610.0 ms,0 s,0 s,28.2 ms,1.3 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,16.9 ms,469.3 ms,0 s,0 s,0 s,0 s,12.0 ms,15.2 ms,0 s,0 s,0 s,0 s,211.5 µs,0 s
2024-01-02 14:12:40,0 s,2.5 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,115.2 ms,10.6 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,230.0 ms,0 s,0 s,0 s,752.9 µs,0 s,8.8 ms,0 s,0 s,0 s,0 s,0 s,609.2 ms,0 s,0 s,28.9 ms,1.4 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,12.3 ms,475.3 ms,0 s,0 s,0 s,0 s,13.6 ms,16.0 ms,0 s,0 s,0 s,0 s,0 s,0 s
2024-01-02 14:12:45,0 s,2.7 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,124.1 ms,4.3 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s,0 s,226.0 ms,0 s,0 s,0 s,0 s,0 s,4.8 ms,0 s,0 s,0 s,0 s,0 s,602.7 ms,0 s,0 s,28.4 ms,1.7 s,192.5 ms,0 s,0 s,0 s,0 s,0 s,0 s,11.6 ms,469.4 ms,0 s,0 s,0 s,0 s,9.9 ms,16.1 ms,0 s,0 s,0 s,0 s,0 s,0 s
